Generation,BestFitness,MeanFitness
1,661381,729534.24
2,630729,699620.61
3,627451,670553.27
4,591372,658796.95
5,579936,629835.48
6,552027,605716.3
7,541491,590576.45
8,516980,570515.32
9,477109,547189.02
10,473623,535561.43
11,441965,506270.92
12,434243,492716.56
13,415331,471594.5
14,402939,465202.66
15,381333,443143.23
16,378984,427156.19
17,368366,418393.23
18,345949,402344.47
19,339563,401859.94
20,333961,370531.8
21,315914,364521.85
22,296856,352318.28
23,291218,352572.98
24,267377,324721.65
25,266726,319240.18
26,256481,340979.51
27,249024,321884.93
28,237331,283144.51
29,232310,309715.83
30,217140,313428.6
31,215179,324888.44
32,212150,307708.33
33,205650,269775.99
34,202478,308895.21
35,192273,375344.71
36,192226,369021.79
37,188475,315421.9
38,182582,338227.3
39,180743,360398.58
40,177217,354949.49
41,175127,286042.11
42,169000,321444.99
43,164832,236086.82
44,164542,321322.58
45,160389,323688.33
46,156737,307083.39
47,155337,276525.71
48,154085,345974.91
49,149833,320501.49
50,148995,276978.68
51,143774,299125.99
52,143271,320596.07
53,141107,279645.06
54,138333,273694.84
55,134314,248610.64
56,133780,254329.04
57,131739,337592.93
58,128876,320540.23
59,125986,373054.58
60,125986,355581.38
61,123257,313497.6
62,118625,303783.63
63,116586,255058.54
64,115878,235219.48
65,111669,325956.8
66,110078,376265.25
67,110078,388018.15
68,110078,339177.2
69,106589,390265.29
70,106589,341158.09
71,106589,333305.17
72,106589,327220.97
73,104360,270850.98
74,104360,335553.05
75,101200,298227.77
76,101200,288026.48
77,101200,303998.26
78,100391,295145.48
79,96200,287735.31
80,96200,307100.82
81,95259,320783.25
82,94562,229170.82
83,92344,329082.48
84,92344,349572.82
85,92344,261749.65
86,92040,292804.35
87,90031,349639.72
88,90031,345781.47
89,90031,341390.37
90,90031,320282.26
91,87694,257008.44
92,87694,334309.81
93,87694,336113.34
94,87694,343445.52
95,86970,290570.09
96,84633,333098.77
97,84633,331244.52
98,82395,284800.88
99,82395,342599.04
100,82395,331223.24
